# GeoNames cities (population >= 100k) + aliases. CC-BY 4.0, geonames.org
# match_name<TAB>display_name<TAB>lat<TAB>lon<TAB>population
amagasaki	Amagasaki	34.7167	135.4167	459593
amaigbo	Amaigbo	5.7892	7.8383	127300
amanfrom	Amanfrom	5.5353	-0.3983	119467
amarapura	Amarapura	21.9071	96.0489	237618
amaravati	Amaravati	16.514	80.516	103000
amarillo	Amarillo	35.222	-101.8313	198645
amasya	Amasya	40.6533	35.8331	114921
ambala	Ambāla	30.361	76.7978	195153
ambala sadar	Ambala Sadar	30.3354	76.8627	104974
ambarnath	Ambarnath	19.2	73.1667	253475
ambato	Ambato	-1.2491	-78.6167	387309
ambattur	Ambattur	13.0982	80.1615	466205
ambikapur	Ambikāpur	23.1189	83.1954	121071
ambikāpur	Ambikāpur	23.1189	83.1954	121071
ambon	Ambon	-3.6958	128.1833	347288
ambur	Ambur	12.7916	78.7164	114608
ambāla	Ambāla	30.361	76.7978	195153
americana	Americana	-22.7392	-47.3314	246655
amersfoort	Amersfoort	52.155	5.3875	139914
amherst	Amherst	42.9784	-78.7998	122366
amiens	Amiens	49.9	2.3	143086
amman	Amman	31.9552	35.945	1275857
amol	Āmol	36.4696	52.3507	237528
ampang	Ampang	3.15	101.7667	126285
amravati	Amravati	20.9333	77.75	647057
amreli	Amreli	21.5998	71.2117	117967
amritsar	Amritsar	31.6223	74.8753	1159227
amroha	Amroha	28.9031	78.4698	176253
amsterdam	Amsterdam	52.374	4.8897	741636
amsterdam nieuw-west	Amsterdam Nieuw-West	52.3565	4.8064	151677
amsterdam-oost	Amsterdam-Oost	52.3521	4.9335	135767
amsterdam-west	Amsterdam-West	52.3776	4.866	143842
amsterdam-zuid	Amsterdam-Zuid	52.3469	4.8768	144432
an nhon	An Nhơn	13.8858	109.1082	308396
an nhơn	An Nhơn	13.8858	109.1082	308396
an nu'maniyah	An Nu‘mānīyah	32.5562	45.4129	110000
an nuhud	An Nuhūd	12.7	28.4333	108008
an nuhūd	An Nuhūd	12.7	28.4333	108008
an nu‘mānīyah	An Nu‘mānīyah	32.5562	45.4129	110000
anaco	Anaco	9.4296	-64.4643	139397
anaheim	Anaheim	33.8353	-117.9145	350742
anand	Anand	22.5525	72.9552	209410
ananindeua	Ananindeua	-1.3656	-48.3722	535547
anantapur	Anantapur	14.6778	77.6081	267161
anantnag	Anantnag	33.7307	75.1542	150592
anapolis	Anápolis	-16.3267	-48.9528	319587
anbu	Anbu	23.4489	116.6809	162964
anchorage	Anchorage	61.2181	-149.9003	289600
anda	Anda	46.4487	125.3016	181271
anderlecht	Anderlecht	50.8362	4.3145	160553
andijon	Andijon	40.7834	72.3507	747800
andimeshk	Andīmeshk	32.4615	48.3537	135116
andisheh	Andīsheh	35.7471	51.2774	116062
andong	Andong	36.5664	128.7227	153348
andīmeshk	Andīmeshk	32.4615	48.3537	135116
andīsheh	Andīsheh	35.7471	51.2774	116062
ang mo kio new town	Ang Mo Kio New Town	1.3803	103.8397	159340
angarsk	Angarsk	52.5597	103.9141	243158
angeles city	Angeles City	15.15	120.5833	483452
angers	Angers	47.4716	-0.552	168279
angoche	Angoche	-16.2325	39.9086	104540
angono	Angono	14.5266	121.1536	134975
angra dos reis	Angra dos Reis	-23.0067	-44.3181	179120
angren	Angren	41.0167	70.1436	191300
anjo	Anjō	34.9583	137.0805	188693
anjō	Anjō	34.9583	137.0805	188693
ankang	Ankang	32.68	109.0172	870126
ankara	Ankara	39.9199	32.8543	3517182
anliu	Anliu	23.6982	115.6795	115560
ann	Ann	19.7954	94.0479	119714
ann arbor	Ann Arbor	42.2776	-83.7409	117070
annaba	Annaba	36.9	7.7667	342703
anning	Anning	24.9227	102.485	106795
anqing	Anqing	30.5136	117.0472	804493
anqiu	Anqiu	36.4342	119.1925	962000
ansan-si	Ansan-si	37.3236	126.8219	623256
anshan	Anshan	41.1236	122.99	3325372
anshun	Anshun	26.25	105.9333	765313
antakya	Antakya	36.2066	36.1572	399045
antalya	Antalya	36.9081	30.6956	1335002
antananarivo	Antananarivo	-18.9137	47.5361	1349501
antioch	Antioch	38.0049	-121.8058	110542
antipolo	Antipolo	14.6258	121.1225	913712
antofagasta	Antofagasta	-23.6509	-70.3975	401096
antsirabe	Antsirabe	-19.8659	47.0333	260907
antsiranana	Antsiranana	-12.3173	49.2919	136959
antwerp	Antwerp	51.2205	4.4003	529247
anyama	Anyama	5.4946	-4.0518	133905
anyang	Anyang	36.096	114.3828	1146839
anyang-si	Anyang-si	37.3925	126.9269	595644
anápolis	Anápolis	-16.3267	-48.9528	319587
aomori	Aomori	40.8167	140.7333	298394
apalit	Apalit	14.9533	120.77	121057
aparecida de goiania	Aparecida de Goiânia	-16.8233	-49.2439	527796
aparecida de goiânia	Aparecida de Goiânia	-16.8233	-49.2439	527796
apatzingan	Apatzingán	19.0886	-102.357	102362
apatzingán	Apatzingán	19.0886	-102.357	102362
apeldoorn	Apeldoorn	52.21	5.9694	136670
apopa	Apopa	13.8072	-89.1792	112158
apucarana	Apucarana	-23.5508	-51.4608	134910
aqsu	Aqsu	41.1842	80.2792	535657
ar ramtha	Ar Ramthā	32.5587	36.0082	155693
ar ramthā	Ar Ramthā	32.5587	36.0082	155693
ar raqqah	Ar Raqqah	35.9528	39.0079	531952
ar rayyan	Ar Rayyān	25.2919	51.4244	272465
ar rayyān	Ar Rayyān	25.2919	51.4244	272465
ar rifa'	Ar Rifā‘	26.13	50.555	115495
ar rifā‘	Ar Rifā‘	26.13	50.555	115495
arabi	Ārabī	9.9628	42.4928	148933
arabkir	Arabkir	40.2062	44.5037	119300
aracaju	Aracaju	-10.9111	-37.0717	664908
aracatuba	Araçatuba	-21.2089	-50.4328	208415
arad	Arad	46.1833	21.3167	169065
araguaina	Araguaína	-7.1911	-48.2072	183024
araguari	Araguari	-18.6472	-48.1872	117808
araguaína	Araguaína	-7.1911	-48.2072	183024
arak	Arāk	34.0949	49.6981	503647
arakawa	Arakawa	35.7383	139.7805	216900
arapiraca	Arapiraca	-9.7525	-36.6611	243906
arapongas	Arapongas	-23.4194	-51.4244	124838
arar	Arar	30.9753	41.0381	148540
araraquara	Araraquara	-21.7944	-48.1756	168468
araras	Araras	-22.3569	-47.3842	135744
araruama	Araruama	-22.8728	-42.3431	137906
araucaria	Araucária	-25.5931	-49.4103	162247
araucária	Araucária	-25.5931	-49.4103	162247
araure	Araure	9.5814	-69.2385	181820
araxa	Araxá	-19.5933	-46.9406	118786
araxá	Araxá	-19.5933	-46.9406	118786
araçatuba	Araçatuba	-21.2089	-50.4328	208415
arba minch	Arba Minch	6.0333	37.55	201000
arcahaie	Arcahaie	18.7702	-72.5123	130306
archway	Archway	51.5673	-0.1341	215667
ardabil	Ardabīl	38.2498	48.2933	410753
ardabīl	Ardabīl	38.2498	48.2933	410753
arequipa	Arequipa	-16.399	-71.5375	1195700
arezzo	Arezzo	43.4628	11.8807	100734
arganzuela	Arganzuela	40.4002	-3.6962	148797
argenteuil	Argenteuil	48.9479	2.2474	101475
arhus	Århus	56.1567	10.2108	285273
arica	Arica	-18.4755	-70.3006	241653
arif wala	Arif Wala	26.3248	66.2959	157063
arifwala	Arifwala	30.2906	73.0657	854462
arish	Arīsh	31.1316	33.7984	199243
arjawinangun	Arjawinangun	-6.6453	108.4103	105845
arkhangel'sk	Arkhangel’sk	64.5461	40.5518	349742
arkhangel’sk	Arkhangel’sk	64.5461	40.5518	349742
arlington	Arlington	32.7357	-97.1081	388125
arlit	Arlit	18.7369	7.3853	106448
armavir	Armavir	44.9985	41.1147	199548
armenia	Armenia	4.5366	-75.6726	304314
arnavutkoey	Arnavutköy	41.1835	28.7402	198165
arnavutköy	Arnavutköy	41.1835	28.7402	198165
arnhem	Arnhem	51.98	5.9111	162424
arrah	Arrah	25.5563	84.6633	261430
arroyo naranjo	Arroyo Naranjo	23.0381	-82.377	210053
arsuz	Arsuz	36.413	35.8903	109550
artem	Artëm	43.3576	132.1914	102300
artur alvim	Artur Alvim	-23.5402	-46.4858	104864
artux	Artux	39.7084	76.1797	285000
artëm	Artëm	43.3576	132.1914	102300
arusha	Arusha	-3.3667	36.6833	617631
arvada	Arvada	39.8028	-105.0875	115368
aryanah	Aryanah	36.8601	10.1934	114486
arzamas	Arzamas	55.3956	43.8381	109479
arāk	Arāk	34.0949	49.6981	503647
arīsh	Arīsh	31.1316	33.7984	199243
as salimiyah	As Sālimīyah	29.3339	48.0761	147649
as salt	As Salţ	32.0392	35.7272	107874
as salţ	As Salţ	32.0392	35.7272	107874
as samawah	As Samawah	31.332	45.2944	152890
as sinbillawayn	As Sinbillāwayn	30.8825	31.4627	124020
as sinbillāwayn	As Sinbillāwayn	30.8825	31.4627	124020
as suwayq	As Suwayq	23.8494	57.4386	107143
as sālimīyah	As Sālimīyah	29.3339	48.0761	147649
asahikawa	Asahikawa	43.7706	142.3649	333530
asaka	Asaka	35.8047	139.6019	141083
asansol	Āsansol	23.6833	86.9833	504271
asela	Āsela	7.95	39.1333	139500
ash sharqat	Ash Sharqāt	35.5172	43.2281	160000
ash sharqāt	Ash Sharqāt	35.5172	43.2281	160000
ash shatrah	Ash Shaţrah	31.4091	46.1727	182175
ash shaţrah	Ash Shaţrah	31.4091	46.1727	182175
ashaiman	Ashaiman	5.6995	-0.0348	190972
ashdod	Ashdod	31.7921	34.6497	226838
ashgabat	Ashgabat	37.95	58.3833	1030063
ashikaga	Ashikaga	36.3333	139.45	144746
ashkelon	Ashkelon	31.6693	34.5715	144073
ashmun	Ashmūn	30.2974	30.9764	124483
ashmūn	Ashmūn	30.2974	30.9764	124483
ashoknagar kalyangarh	Ashoknagar Kalyangarh	22.8642	88.637	111475
ashuganj city	Ashuganj City	24.0402	91.0117	210356
asmara	Asmara	15.3381	38.9318	563930
assis	Assis	-22.6617	-50.4122	104858
assiut	Assiut	27.181	31.1837	528669
astana	Astana	51.1801	71.446	1544142
astanajapura	Astanajapura	-6.8017	108.6311	148047
astoria	Astoria	40.7721	-73.9301	150165
astrakhan	Astrakhan	46.3497	48.0408	533925
asuncion	Asunción	-25.2865	-57.647	1482200
asunción	Asunción	-25.2865	-57.647	1482200
aswan	Aswān	24.0908	32.8994	379774
aswān	Aswān	24.0908	32.8994	379774
atani	Atani	6.0128	6.7477	230000
atasehir	Ataşehir	40.9833	29.1167	361615
ataşehir	Ataşehir	40.9833	29.1167	361615
atbara	Atbara	17.7022	33.9864	112021
athens	Athens	37.9838	23.7278	664046
athlone	Athlone	-33.9672	18.5021	237414
atibaia	Atibaia	-23.1169	-46.5503	158647
atlanta	Atlanta	33.749	-84.388	510823
atsiaman	Atsiaman	5.6978	-0.3282	202932
atsugi	Atsugi	35.4427	139.3693	223960
attock city	Attock City	33.7667	72.3598	141945
atyrau	Atyrau	47.1048	51.8843	290700
auckland	Auckland	-36.8485	174.7635	1547200
augsburg	Augsburg	48.3715	10.8985	301105
aurangabad	Aurangabad	19.8776	75.3423	1175116
aurangābād	Aurangābād	24.752	84.3742	102244
aurora	Aurora	39.7294	-104.8319	359407
austin	Austin	30.2672	-97.7431	974447
avadi	Avadi	13.1147	80.1098	345996
avellaneda	Avellaneda	-34.6602	-58.3674	367554
avtozavodskyi	Avtozavodskyi	49.0975	33.4321	157382
awasa	Awasa	7.0621	38.4763	422200
awka	Awka	6.2127	7.072	167738
ayacucho	Ayacucho	-13.1638	-74.2234	140033
aydin	Aydın	37.845	27.8396	163022
aydın	Aydın	37.845	27.8396	163022
az zawiyah	Az Zāwīyah	32.7571	12.7276	200000
az zubayr	Az Zubayr	30.3921	47.7017	122676
az zulfi	Az Zulfī	26.2995	44.8154	125000
az zulfī	Az Zulfī	26.2995	44.8154	125000
az zāwīyah	Az Zāwīyah	32.7571	12.7276	200000
az-zuhur	Az-Zuhūr	31.265	32.264	266381
az-zuhūr	Az-Zuhūr	31.265	32.264	266381
azamgarh	Azamgarh	26.0683	83.1836	116644
azare	Azare	11.6748	10.1907	105687
azcapotzalco	Azcapotzalco	19.487	-99.1859	414711
açailândia	Açailândia	-4.9467	-47.5047	110611
aïn beïda	Aïn Beïda	35.7964	7.3928	116064
ağrı	Ağrı	39.7147	43.0401	124483
aḍ-ḍawāḥy	Aḍ-Ḍawāḥy	31.2441	32.2773	148624
ba dinh	Ba Dinh	21.0365	105.8268	221893
ba gjon	Ba Đồn	17.7535	106.4236	106413
ba vi	Ba Vì	21.0833	105.3833	282600
ba vì	Ba Vì	21.0833	105.3833	282600
ba đồn	Ba Đồn	17.7535	106.4236	106413
bab ezzouar	Bab Ezzouar	36.7261	3.1829	275630
